timestamp,ticker,price_krw,price_usd,chg_30m_pct,vol_z,cvd_1h,rsi,rsi_delta,bb_percent,ls_ratio,atr_pct,oi_change_pct,funding,vol_24h_m,ema20,ema60,ema120,box_high,box_low,recent_pct,long_score,short_score,prepump_score,preshort_score,interval,ema_l,ema_s,pp_l,pp_s,cvd_l,cvd_s,oi_sc,m30_l,m30_s,volz_sc,liquidity_sc
2026-07-17 00:03:45,ICX,34.48,0.02367,0.0,-0.4,5296.31,36.3,0.3,14.7,2.31,1.17,0.35,0.005,5,35.09598028,35.50100877,35.97133807,36.25,34.48,-7.137,22,41,49,22,1h,0,20,5,20,15,0,0,0,0,3,0
2026-07-17 00:03:45,ETH,2763000.0,1878.94,-0.325,-1.4,-150.63,39.7,0.4,19.4,1.829,0.7,0.39,0.002,28643,2785761.12555078,2766932.57500314,2733612.83119615,2836000.0,2740000.0,4.977,12,41,35,29,1h,0,0,5,20,0,15,0,0,0,3,5
2026-07-17 00:03:45,QTUM,1001.0,0.6781,0.2,-0.5,746.67,47.3,12.3,43.0,1.927,0.41,0.08,0.01,29,1001.60520136,1006.43406032,1012.66125546,1018.0,990.0,-0.299,27,27,37,17,1h,0,20,5,0,15,0,0,0,0,3,5
2026-07-17 00:03:45,ETC,10300.0,7.004,-0.29,-1.1,-148.42,46.8,11.0,40.6,1.334,0.5,-0.13,0.0046,302,10313.85824784,10342.46860823,10364.29041272,10450.0,10210.0,-0.387,12,41,27,37,1h,0,20,5,0,0,15,0,0,0,3,5
2026-07-17 00:03:45,XRP,1630.0,1.1092,-0.306,-1.8,-485349.31,49.7,4.1,44.4,2.858,0.55,0.15,0.0065,21612,1630.35196425,1626.82039508,1627.23282627,1644.0,1617.0,2.774,22,22,46,34,1h,10,0,5,0,0,15,0,0,0,3,5
2026-07-17 00:03:45,BTC,94769000.0,64472.7,-0.255,-1.5,-9.85,49.9,10.9,51.2,1.336,0.4,-0.59,0.0059,24827,94716374.62786183,94733957.69746909,94635350.8093555,95567000.0,93895000.0,2.415,8,27,35,34,1h,0,0,0,5,0,15,0,0,0,3,5
2026-07-17 00:03:45,BCH,328000.0,222.69,-0.152,-0.8,1.83,41.5,8.9,46.2,1.576,1.13,-0.29,-0.0173,1016,329848.80713798,338763.67600281,345661.71270695,336800.0,322500.0,-6.845,27,27,39,40,1h,0,20,5,0,15,0,0,0,0,3,5
2026-07-17 00:03:45,A,109.0,0.07358,0.0,-0.4,0.0,37.6,-6.8,18.5,0.944,0.85,0.18,0.005,97,110.05420033,110.29065815,110.47567375,112.0,108.0,-2.679,17,50,30,17,1h,0,20,5,20,5,5,0,0,0,3,5
2026-07-17 00:03:45,TRX,474.0,0.32292,0.0,1.1,-238400.47,36.6,-6.8,3.1,0.924,0.42,0.44,-0.073,1373,476.34970529,479.47864008,483.02455828,479.0,474.0,-1.863,12,60,34,37,1h,0,20,5,20,0,15,0,0,0,3,5
2026-07-17 00:03:45,ELF,90.85,,0.0,-0.3,0.0,48.5,1.9,39.7,,1.18,0.0,0.0,58,91.03061381,91.13169735,91.36601985,96.11,90.13,-0.732,17,31,36,17,1h,0,20,5,0,5,5,0,0,0,3,5
2026-07-17 00:03:45,GLM,147.0,0.10068,0.0,0.2,0.0,45.7,0.6,35.2,2.01,0.39,-0.51,-0.0026,7,147.50313017,148.21671617,148.66215622,149.0,146.0,-2.649,12,27,27,30,1h,0,20,5,0,5,5,0,0,0,3,0
2026-07-17 00:03:45,KNC,160.0,0.1097,-0.621,-0.4,4981.19,40.8,-0.0,24.0,2.743,0.58,-0.39,0.01,24,161.0470049,161.46425453,161.73702627,164.0,160.0,0.0,27,41,40,30,1h,0,20,5,0,15,0,0,0,15,3,5
2026-07-17 00:03:45,ZIL,4.39,0.002983,-0.273,-0.4,-264822.5,48.7,7.8,43.5,1.727,0.39,-0.29,0.005,34,4.3906355,4.40015575,4.41425525,4.451,4.348,0.734,12,41,23,50,1h,0,20,5,0,0,15,0,0,0,3,5
2026-07-17 00:03:45,WAXP,5.806,0.003978,0.0,0.5,340762.49,43.3,7.1,27.9,2.316,0.42,0.1,0.0021,16,5.82949761,5.85939926,5.90844668,5.895,5.766,-1.023,27,27,54,17,1h,0,20,5,0,15,0,0,0,0,3,5
2026-07-17 00:03:45,STEEM,58.85,0.04023,0.0,-0.5,6413.01,51.0,3.2,46.5,1.702,0.33,-0.15,0.005,27,58.7765731,59.0745368,59.65565935,59.7,58.28,-2.566,27,17,39,30,1h,0,10,5,0,15,0,0,0,0,3,5
2026-07-17 00:03:45,POWR,63.15,0.04365,0.0,-0.6,-486.82,38.9,-5.9,8.8,1.751,0.46,0.17,0.005,35,63.68746856,64.01524366,64.41330655,64.99,63.01,-4.304,17,50,26,24,1h,0,20,5,20,5,5,0,0,0,3,5
2026-07-17 00:03:45,ZRX,127.0,0.0866,0.794,-0.1,0.0,50.2,2.2,50.0,1.955,0.51,-0.33,0.005,15,126.89006255,127.4519796,128.00969979,128.0,126.0,-3.788,27,22,27,30,1h,0,10,0,0,5,5,0,15,0,3,5
2026-07-17 00:03:45,ADA,240.0,0.1635,0.0,-1.5,-244482.24,48.1,4.5,39.4,2.051,0.8,-0.19,-0.0081,1744,240.38607326,240.73919991,242.39284186,245.0,237.0,2.128,12,41,27,50,1h,0,20,5,0,0,15,0,0,0,3,5
2026-07-17 00:03:45,SNT,10.52,0.02531,-0.095,-0.5,-76103.67,48.9,10.9,50.5,,0.56,0.0,0.0,19,10.51493454,10.59463065,10.68451614,10.64,10.39,-2.683,8,36,28,39,1h,0,10,0,5,0,15,0,0,0,3,5
2026-07-17 00:03:45,BAT,118.0,0.0806,0.0,-0.4,27460.01,46.3,-3.8,30.1,1.577,0.79,-0.33,-0.0179,10,118.58185224,119.86730596,121.96647888,121.0,117.0,-6.349,27,27,45,35,1h,0,20,5,0,15,0,0,0,0,3,5
2026-07-17 00:03:45,CVC,29.34,0.01994,0.0,-0.1,-74752.77,54.7,7.2,80.0,3.06,0.81,0.03,0.005,29,29.14559743,29.32013586,29.63201459,29.69,28.82,-2.816,8,27,28,39,1h,0,0,0,5,0,15,0,0,0,3,5
2026-07-17 00:03:45,LINK,12390.0,8.421,-0.322,-1.4,-1832.91,47.8,0.3,26.1,1.869,0.62,-0.41,0.01,870,12424.50021054,12304.02357956,12147.7987408,12600.0,12320.0,5.717,22,22,34,42,1h,10,0,5,0,0,15,0,0,0,3,5
2026-07-17 00:03:45,THETA,215.0,0.148,0.0,-0.7,0.0,53.3,8.6,64.3,1.543,1.13,-0.52,0.0065,4,213.78339857,213.36298851,213.07146384,218.0,209.0,-2.273,27,12,39,35,1h,20,0,0,5,5,5,0,0,0,3,0
2026-07-17 00:03:45,WAVES,369.0,0.75728182,-0.27,0.4,1281.22,42.8,-10.4,13.1,,0.87,0.0,0.0,45,372.08370923,374.5840911,378.32453528,377.0,365.0,-2.122,27,46,44,22,1h,0,20,5,20,15,0,0,0,0,3,5
2026-07-17 00:03:45,ENJ,41.65,0.0286,-0.263,-0.9,-2572.38,52.4,-4.4,63.1,1.401,0.88,-0.28,0.0035,139,41.52783565,41.41201445,41.5346036,42.25,40.47,2.41,8,27,39,39,1h,0,0,0,5,0,15,0,0,0,3,5
2026-07-17 00:03:45,MTL,330.0,0.2253,0.0,-0.3,377.41,48.4,2.2,36.4,1.99,1.39,-0.26,0.01,14,330.76559242,330.80250836,331.62169859,340.0,323.0,1.538,27,27,55,27,1h,0,20,5,0,15,0,0,0,0,3,5
2026-07-17 00:03:45,VET,6.969,0.004786,0.086,-0.8,406865.27,43.5,0.8,27.5,1.606,0.68,-0.11,0.0039,44,7.00015234,7.03137546,7.05834889,7.128,6.928,-1.205,27,27,48,30,1h,0,20,5,0,15,0,0,0,0,3,5
2026-07-17 00:03:45,IOST,0.995,0.000672,-0.39,-0.7,-51083.88,42.6,2.7,22.6,2.161,0.82,-0.16,0.01,61,0.9991901,1.00666708,1.01811967,1.067,0.9903,-2.163,12,41,28,52,1h,0,20,5,0,0,15,0,0,0,3,5
2026-07-17 00:03:45,BSV,19190.0,13.05,0.471,-1.0,0.0,40.2,0.9,32.5,1.42,0.62,0.4,-0.0181,121,19323.94598733,19756.84391338,19987.54470015,19630.0,19010.0,-9.864,17,31,30,27,1h,0,20,5,0,5,5,0,0,0,3,5
2026-07-17 00:03:45,AMO,0.3927,,0.127,-0.1,2637146.47,32.0,-5.0,10.0,,0.8,0.0,0.0,23,0.39929867,0.40083467,0.40304013,0.4062,0.3894,-3.962,27,46,50,17,1h,0,20,5,20,15,0,0,0,0,3,5
2026-07-17 00:03:45,ORBS,8.701,0.01807714,-0.605,-0.4,-451867.26,41.5,-2.5,27.6,,1.13,0.0,0.0,142,8.76559434,8.86959737,8.95216646,9.162,8.602,-5.537,12,55,35,42,1h,0,20,5,0,0,15,0,0,15,3,5
2026-07-17 00:03:45,TFUEL,11.62,,-0.599,0.2,-166460.66,53.5,5.5,61.9,,1.0,0.0,0.0,16,11.55884058,11.53324361,11.57753458,11.87,11.34,-2.106,8,41,37,37,1h,0,0,0,5,0,15,0,0,15,3,5
2026-07-17 00:03:45,ANKR,5.289,0.003593,0.0,-0.5,39677.92,42.2,-3.5,17.4,1.621,0.55,-0.39,-0.0005,61,5.33854464,5.33775299,5.3572569,5.845,5.289,-0.302,27,27,50,30,1h,0,0,5,20,15,0,0,0,0,3,5
2026-07-17 00:03:45,CRO,84.53,,0.883,-0.7,-29468.42,80.3,16.9,111.6,,0.75,0.0,0.0,78,82.44969798,82.06848855,82.45979078,84.75,80.95,3.896,31,27,18,45,1h,0,0,10,5,0,15,0,15,0,3,5
